region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
IT,Total,2024,-1.263225,-0.122234,1.030969,83.876021,83.747648,0.396,ns
IT,Total,2020-2024,-1.456328,-0.760767,-0.034068,83.673635,82.909626,0.02,sig
JP,Total,2020,-0.095545,0.069044,0.267556,84.684154,84.751565,1,ns
JP,Total,2021,-0.507679,-0.221162,0.023466,84.836528,84.615187,0.04,sig
JP,Total,2022,-1.198211,-0.887678,-0.602429,85.007955,84.118974,0,sig
JP,Total,2023,-1.402074,-1.006769,-0.683856,85.186022,84.176323,0,sig
JP,Total,2024,-1.610491,-1.185535,-0.811275,85.343976,84.168586,0,sig
JP,Total,2020-2024,-0.908482,-0.663117,-0.415007,85.018424,84.352583,0,sig
LT,Total,2020,-1.960915,-1.510309,-1.016454,76.731298,75.234888,0,sig
LT,Total,2021,-3.390249,-2.733195,-2.192649,77.019903,74.28675,0,sig
LT,Total,2022,-2.216085,-1.47301,-0.818072,77.33062,75.857687,0,sig
LT,Total,2023,-0.994487,-0.182467,0.695967,77.609724,77.444638,0.328,ns
LT,Total,2024,-1.269038,-0.418755,0.44058,77.887947,77.472749,0.172,ns
LT,Total,2020-2024,-1.888946,-1.30657,-0.7496,77.305081,76.011499,0,sig
LU,Total,2020,-1.246949,-0.661317,0.001381,82.604376,81.955984,0.016,sig
LU,Total,2021,-1.110426,-0.319525,0.480162,82.780509,82.439779,0.22,ns
LU,Total,2022,-1.132181,-0.152183,0.940066,82.935406,82.755268,0.4,ns
LU,Total,2023,-0.948009,0.039872,1.104542,83.056895,83.045763,1,ns
LU,Total,2024,-1.242436,-0.164978,1.094956,83.202987,83.056201,0.392,ns
LU,Total,2020-2024,-0.986744,-0.233114,0.599747,82.907992,82.653913,0.284,ns
LV,Total,2020,-0.92031,-0.406777,0.058793,75.819905,75.404063,0.028,sig
LV,Total,2021,-3.551141,-2.948141,-2.269527,76.079234,73.128664,0,sig
LV,Total,2022,-2.544301,-1.864241,-1.115179,76.337016,74.496619,0,sig
LV,Total,2023,-1.802027,-1.04266,-0.182059,76.641342,75.568249,0.004,sig
LV,Total,2024,-1.378122,-0.440297,0.549832,76.889049,76.441579,0.164,ns
LV,Total,2020-2024,-1.958141,-1.371339,-0.710516,76.350181,74.952825,0,sig
NL,Total,2020,-0.966837,-0.765245,-0.543999,82.158699,81.399644,0,sig
NL,Total,2021,-1.204829,-0.916449,-0.605346,82.282232,81.363256,0,sig
NL,Total,2022,-1.13671,-0.762662,-0.451017,82.401558,81.642817,0,sig
