year,sex,region,e0_actual,e0_expected_avg,e0_expected_q050,e0_expected_q950,e0_deficit_avg,e0_deficit_q050,e0_deficit_q950,year_int,e0_deficit_pval,region_code_iso3166_2_alpha3,country_code_iso3166_1,country_code_iso3166_1_alpha3,region_code_stmf,calendar_stmf,region_code_hmd,region_code_wpp,region_code_coverage,region_name_en,region_name_de,region_name_short,region_level,country_name,hemisphere,continent,group,label
2022,Female,BG,78.010401,79.312845,78.673846,79.931609,-1.302444,-1.938762,-0.626336,2022,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2023,Female,BG,79.607111,79.502917,78.711409,80.229806,0.104194,-0.626702,0.879726,2023,1,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2024,Female,BG,79.636546,79.673768,78.783849,80.419605,-0.037222,-0.824387,0.832829,2024,0.476,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2020-2024,Female,BG,77.868083,79.305823,78.731392,79.859176,-1.437741,-1.972248,-0.855635,NA,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2020,Total,BG,73.781317,75.243683,74.922977,75.535004,-1.462366,-1.732633,-1.149782,2020,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2021,Total,BG,71.39105,75.431829,75.017886,75.834996,-4.040779,-4.461576,-3.617679,2021,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2022,Total,BG,74.339004,75.590212,75.152308,76.0684,-1.251208,-1.72135,-0.788493,2022,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2023,Total,BG,76.006869,75.776796,75.234494,76.317842,0.230073,-0.343659,0.785149,2023,1,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2024,Total,BG,76.195255,75.946936,75.341753,76.578002,0.248319,-0.346208,0.85515,2024,1,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2020-2024,Total,BG,74.197188,75.593666,75.173364,76.015266,-1.396478,-1.828214,-0.973919,NA,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2020,Male,CH,80.956124,82.064982,81.68286,82.45406,-1.108858,-1.520304,-0.725064,2020,0,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2021,Male,CH,81.618588,82.298178,81.817815,82.831347,-0.67959,-1.260025,-0.164334,2021,0.008,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2022,Male,CH,81.627639,82.50885,81.855373,83.163407,-0.881211,-1.562531,-0.199826,2022,0.004,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2023,Male,CH,82.27533,82.739371,81.987959,83.412737,-0.464041,-1.11784,0.273595,2023,0.144,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2024,Male,CH,82.568825,82.952155,82.110691,83.717005,-0.38333,-1.153681,0.456685,2024,0.212,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2020-2024,Male,CH,81.805058,82.516501,81.937383,83.077865,-0.711443,-1.2701,-0.131117,NA,0.012,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2020,Female,CH,85.134143,85.654945,85.301168,85.980604,-0.520802,-0.846396,-0.165096,2020,0.012,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
