group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
B Second wave peak,EE,Estonia,2023,20,-0.057165,ee
B Second wave peak,EE,Estonia,2023,40,-0.604049,ee
B Second wave peak,EE,Estonia,2023,60,-0.249532,ee
B Second wave peak,EE,Estonia,2023,80,-0.171788,ee
B Second wave peak,EE,Estonia,2023,100,0.002312,ee
B Second wave peak,EE,Estonia,2024,0,-0.064619,ee
B Second wave peak,EE,Estonia,2024,20,-0.012376,ee
B Second wave peak,EE,Estonia,2024,40,-0.557301,ee
B Second wave peak,EE,Estonia,2024,60,-0.313535,ee
B Second wave peak,EE,Estonia,2024,80,-0.014037000000000001,ee
B Second wave peak,EE,Estonia,2024,100,0.005294,ee
B Second wave peak,GR,Greece,2020,0,0.027298,gr
B Second wave peak,GR,Greece,2020,20,0.056565,gr
B Second wave peak,GR,Greece,2020,40,0.071895,gr
B Second wave peak,GR,Greece,2020,60,-0.456514,gr
B Second wave peak,GR,Greece,2020,80,-0.03533,gr
B Second wave peak,GR,Greece,2020,100,0.00531,gr
B Second wave peak,GR,Greece,2020-2024,0,-0.055927,gr
B Second wave peak,GR,Greece,2020-2024,20,-0.047945,gr
B Second wave peak,GR,Greece,2020-2024,40,-0.033492,gr
B Second wave peak,GR,Greece,2020-2024,60,-0.728938,gr
B Second wave peak,GR,Greece,2020-2024,80,-0.125487,gr
B Second wave peak,GR,Greece,2020-2024,100,0.002545,gr
B Second wave peak,GR,Greece,2021,0,-0.033319,gr
B Second wave peak,GR,Greece,2021,20,-0.10235,gr
B Second wave peak,GR,Greece,2021,40,-0.312357,gr
B Second wave peak,GR,Greece,2021,60,-1.111381,gr
B Second wave peak,GR,Greece,2021,80,-0.288095,gr
B Second wave peak,GR,Greece,2021,100,8.34e-4,gr
B Second wave peak,GR,Greece,2022,0,-0.007952,gr
B Second wave peak,GR,Greece,2022,20,-0.077671,gr
B Second wave peak,GR,Greece,2022,40,-0.075724,gr
B Second wave peak,GR,Greece,2022,60,-0.81133,gr
B Second wave peak,GR,Greece,2022,80,-0.301535,gr
B Second wave peak,GR,Greece,2022,100,2.42e-4,gr
B Second wave peak,GR,Greece,2023,0,-0.059763,gr
B Second wave peak,GR,Greece,2023,20,-0.06961,gr
B Second wave peak,GR,Greece,2023,40,0.070823,gr
B Second wave peak,GR,Greece,2023,60,-0.584923,gr
B Second wave peak,GR,Greece,2023,80,0.002696,gr
B Second wave peak,GR,Greece,2023,100,0.005394,gr
B Second wave peak,GR,Greece,2024,0,-0.231546,gr
B Second wave peak,GR,Greece,2024,20,-0.052095,gr
B Second wave peak,GR,Greece,2024,40,0.08963,gr
B Second wave peak,GR,Greece,2024,60,-0.65794299999999994,gr
B Second wave peak,GR,Greece,2024,80,0.030682,gr
B Second wave peak,GR,Greece,2024,100,0.003482,gr
B Second wave peak,HR,Croatia,2020,0,-0.052202,hr
B Second wave peak,HR,Croatia,2020,20,-0.075293,hr
B Second wave peak,HR,Croatia,2020,40,-0.097984,hr
B Second wave peak,HR,Croatia,2020,60,-0.635323,hr
B Second wave peak,HR,Croatia,2020,80,-0.13481,hr
B Second wave peak,HR,Croatia,2020,100,0.001353,hr
B Second wave peak,HR,Croatia,2020-2024,0,-0.005286,hr
B Second wave peak,HR,Croatia,2020-2024,20,-0.084542,hr
B Second wave peak,HR,Croatia,2020-2024,40,-0.191448,hr
B Second wave peak,HR,Croatia,2020-2024,60,-0.541634,hr
B Second wave peak,HR,Croatia,2020-2024,80,-0.005275,hr
B Second wave peak,HR,Croatia,2020-2024,100,0.005498,hr
B Second wave peak,HR,Croatia,2021,0,0.008731,hr
B Second wave peak,HR,Croatia,2021,20,-0.095122,hr
B Second wave peak,HR,Croatia,2021,40,-0.479667,hr
B Second wave peak,HR,Croatia,2021,60,-1.151318,hr
B Second wave peak,HR,Croatia,2021,80,-0.260628,hr
B Second wave peak,HR,Croatia,2021,100,0.002792,hr
B Second wave peak,HR,Croatia,2022,0,-0.048567,hr
B Second wave peak,HR,Croatia,2022,20,-0.109071,hr
B Second wave peak,HR,Croatia,2022,40,-0.169709,hr
B Second wave peak,HR,Croatia,2022,60,-0.51848,hr
