region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
IS,Female,2020,-0.410763,0.189826,0.785306,84.311753,84.489399,1,ns
IS,Female,2021,-0.508887,0.065686,0.698725,84.317271,84.354224,1,ns
IS,Female,2022,-1.282725,-0.794263,-0.200532,84.316151,83.483227,0.004,sig
IS,Female,2023,-0.707081,-0.128195,0.667839,84.313839,84.161208,0.076,ns
IS,Female,2024,-0.803254,-0.178115,0.422594,84.310097,84.101579,0.052,ns
IS,Female,2020-2024,-0.476,-0.206164,0.107666,84.307599,84.084032,0.02,sig
IT,Female,2020,-1.843074,-0.984415,-0.221476,85.463489,84.475426,0,sig
IT,Female,2021,-2.029499,-0.830138,0.398836,85.566374,84.734927,0.084,ns
IT,Female,2022,-2.09222,-0.895833,0.63771,85.658736,84.757305,0.08,ns
IT,Female,2023,-1.767226,-0.260837,1.363681,85.670618,85.413375,0.38,ns
IT,Female,2024,-1.775747,-0.037753,1.710239,85.755537,85.714585,0.484,ns
IT,Female,2020-2024,-1.726396,-0.563415,0.674635,85.582676,85.00788,0.14,ns
JP,Female,2020,-0.172696,0.138596,0.453074,87.666781,87.80322,1,ns
JP,Female,2021,-0.606857,-0.154205,0.290622,87.810688,87.661095,0.256,ns
JP,Female,2022,-1.291446,-0.806283,-0.221202,87.954583,87.154372,0,sig
JP,Female,2023,-1.455309,-0.877721,-0.191884,88.103314,87.224357,0.004,sig
JP,Female,2024,-1.683548,-1.02598,-0.352689,88.23612,87.213145,0.008,sig
JP,Female,2020-2024,-1.043681,-0.560826,-0.090916,87.96292,87.399849,0.016,sig
LT,Female,2020,-1.701221,-1.14417,-0.668257,81.200142,80.057039,0,sig
LT,Female,2021,-3.24035,-2.546188,-1.909278,81.450635,78.88424,0,sig
LT,Female,2022,-2.32493,-1.576136,-0.953694,81.678158,80.091728,0,sig
LT,Female,2023,-1.109383,-0.261512,0.701452,81.956335,81.698019,0.308,ns
LT,Female,2024,-1.541657,-0.49509,0.612545,82.152204,81.643956,0.144,ns
LT,Female,2020-2024,-1.926441,-1.239528,-0.611256,81.659912,80.420821,0,sig
LU,Female,2020,-1.435853,-0.56968,0.69081,84.856528,84.3289,0.128,ns
LU,Female,2021,-1.756466,-0.410533,1.126408,85.048361,84.618515,0.232,ns
LU,Female,2022,-1.593601,-0.051988,1.711598,85.190514,85.104371,0.436,ns
LU,Female,2023,-2.543992,-0.592422,1.379081,85.273418,84.671082,0.304,ns
LU,Female,2024,-1.726783,0.271514,2.554492,85.424807,85.67954,1,ns
LU,Female,2020-2024,-1.660336,-0.294798,1.122548,85.158834,84.874951,0.336,ns
LV,Female,2020,-0.962528,-0.381267,0.233275,80.264365,79.917521,0.144,ns
LV,Female,2021,-3.187098,-2.457038,-1.692973,80.513837,78.035295,0,sig
LV,Female,2022,-2.247421,-1.358032,-0.411288,80.731324,79.408548,0.008,sig
LV,Female,2023,-1.427126,-0.481954,0.717817,80.978277,80.503831,0.2,ns
LV,Female,2024,-1.039954,0.003604,1.311797,81.229403,81.253307,1,ns
LV,Female,2020-2024,-1.680596,-0.969903,-0.120024,80.732493,79.768115,0.02,sig
NL,Female,2020,-0.753312,-0.528219,-0.30196,83.614211,83.084732,0,sig
NL,Female,2021,-0.987385,-0.696453,-0.415745,83.699607,83.003027,0,sig
NL,Female,2022,-0.986194,-0.664661,-0.336546,83.784667,83.116439,0,sig
NL,Female,2023,-0.878813,-0.514226,-0.063129,83.872398,83.349871,0.008,sig
NL,Female,2024,-0.963794,-0.596427,-0.195602,83.949922,83.351666,0.012,sig
NL,Female,2020-2024,-0.888059,-0.605761,-0.299973,83.790279,83.182574,0,sig
NO,Female,2020,-0.255809,0.044583,0.30159,84.867785,84.896011,1,ns
NO,Female,2021,-0.672871,-0.291946,0.043546,85.026549,84.72984,0.04,sig
NO,Female,2022,-1.192299,-0.834412,-0.406386,85.18062,84.345139,0,sig
NO,Female,2023,-1.183012,-0.685958,-0.278993,85.310358,84.627952,0,sig
NO,Female,2024,-1.193456,-0.645751,-0.14409,85.459365,84.800025,0.004,sig
NO,Female,2020-2024,-0.831573,-0.489897,-0.159663,85.161549,84.673952,0,sig
PL,Female,2020,-1.534713,-1.195594,-0.845925,81.814526,80.620895,0,sig
PL,Female,2021,-2.838784,-2.34152,-1.843702,81.940915,79.6002,0,sig
PL,Female,2022,-1.52604,-1.003802,-0.359636,82.097179,81.092948,0,sig
PL,Female,2023,-0.783947,-0.163264,0.509491,82.205222,82.03865,0.308,ns
PL,Female,2024,-0.651665,0.089622,0.782828,82.325668,82.413686,1,ns
PL,Female,2020-2024,-1.399817,-0.944506,-0.441476,82.080918,81.132141,0,sig
PT,Female,2020,-1.270353,-0.793445,-0.358517,85.043342,84.236731,0,sig
PT,Female,2021,-1.568265,-0.913957,-0.375381,85.197206,84.304829,0.004,sig
PT,Female,2022,-1.785535,-0.925662,-0.217265,85.396954,84.454549,0.004,sig
PT,Female,2023,-1.557111,-0.541162,0.35887,85.610013,85.054292,0.116,ns
PT,Female,2024,-1.553326,-0.504202,0.478736,85.7638,85.258899,0.156,ns
PT,Female,2020-2024,-1.456329,-0.738295,-0.123103,85.403592,84.661576,0.008,sig
SE,Female,2020,-0.980351,-0.544026,-0.145255,84.865128,84.319552,0.004,sig
SE,Female,2021,-0.673494,-0.172471,0.336293,85.030268,84.843383,0.312,ns
SE,Female,2022,-1.071804,-0.397985,0.246973,85.134213,84.761792,0.124,ns
SE,Female,2023,-1.103093,-0.327589,0.367748,85.256756,84.927062,0.18,ns
SE,Female,2024,-0.885611,-0.006289,0.814031,85.394757,85.369406,0.492,ns
SE,Female,2020-2024,-0.873614,-0.29998,0.211748,85.143985,84.842754,0.172,ns
SI,Female,2020,-1.667022,-1.26397,-0.847087,84.339237,83.080253,0,sig
SI,Female,2021,-1.487172,-0.853772,-0.305259,84.499071,83.633126,0,sig
SI,Female,2022,-1.461914,-0.778439,-0.132814,84.691918,83.904528,0.012,sig
SI,Female,2023,-0.777572,-0.107188,0.659081,84.830268,84.74221,0.408,ns
SI,Female,2024,-0.880316,-0.101488,0.745026,84.982161,84.885201,0.412,ns
SI,Female,2020-2024,-1.177606,-0.650518,-0.058364,84.673866,84.014793,0.02,sig
SK,Female,2020,-1.360809,-0.829425,-0.379346,81.043516,80.218702,0,sig
SK,Female,2021,-3.800479,-3.041693,-2.395058,81.224164,78.158922,0,sig
SK,Female,2022,-1.842152,-1.018687,0.001724,81.41332,80.425741,0.02,sig
SK,Female,2023,-1.263054,-0.292867,0.743889,81.619588,81.324292,0.284,ns
SK,Female,2024,-1.160492,-0.102875,0.888714,81.764775,81.661396,0.416,ns
SK,Female,2020-2024,-1.877884,-1.126022,-0.351181,81.414219,80.300129,0.004,sig
TW,Female,2020,-0.0232,0.316116,0.724091,84.074671,84.395652,1,ns
TW,Female,2021,-0.671931,-0.253745,0.30059,84.2577,83.997127,0.168,ns
TW,Female,2022,-1.814152,-1.246208,-0.647625,84.414405,83.193725,0,sig
TW,Female,2023,-1.692214,-1.09035,-0.272281,84.647158,83.541413,0.004,sig
TW,Female,2024,-1.611272,-0.861713,0.078061,84.824352,83.964792,0.04,sig
TW,Female,2020-2024,-1.084798,-0.656692,-0.04249,84.461683,83.797947,0.02,sig
US,Female,2020,-1.599598,-1.546049,-1.484325,81.443386,79.899197,0,sig
US,Female,2021,-2.129539,-2.053701,-1.979387,81.475582,79.418702,0,sig
US,Female,2022,-1.291413,-1.206466,-1.113645,81.508189,80.302022,0,sig
US,Female,2023,-0.437513,-0.345639,-0.229402,81.542728,81.200099,0,sig
US,Female,2024,-0.0333,0.068524,0.175276,81.569074,81.635785,1,ns
US,Female,2020-2024,-1.097528,-1.02513,-0.951134,81.510132,80.484065,0,sig
