region_iso,sex,year,e0_actual,e0_expected_lc
DE,Total,2005,79.264748,NA
DE,Total,2006,79.591963,NA
DE,Total,2007,79.731218,NA
DE,Total,2008,79.810749,NA
DE,Total,2009,79.92357,NA
DE,Total,2010,80.082728,NA
DE,Total,2011,80.352946,NA
DE,Total,2012,80.490929,NA
DE,Total,2013,80.450055,NA
DE,Total,2014,80.936289,NA
DE,Total,2015,80.576666,NA
DE,Total,2016,80.846245,NA
DE,Total,2017,80.945309,NA
DE,Total,2018,80.884164,NA
DE,Total,2019,81.208137,NA
DE,Total,2020,81.018687,81.308787
DE,Total,2021,80.807689,81.442345
DE,Total,2022,80.725015,81.553687
DE,Total,2023,81.301285,81.692562
DE,Total,2024,81.622482,81.818452
DK,Male,2000,74.449206,NA
DK,Male,2001,74.677597,NA
DK,Male,2002,74.803508,NA
DK,Male,2003,75.0273,NA
DK,Male,2004,75.40581,NA
DK,Male,2005,75.929143,NA
DK,Male,2006,75.904833,NA
DK,Male,2007,76.1249,NA
DK,Male,2008,76.493436,NA
DK,Male,2009,76.84857,NA
DK,Male,2010,77.124855,NA
DK,Male,2011,77.719854,NA
DK,Male,2012,78.060507,NA
DK,Male,2013,78.270685,NA
DK,Male,2014,78.5665,NA
DK,Male,2015,78.77258,NA
DK,Male,2016,78.952742,NA
DK,Male,2017,79.096765,NA
DK,Male,2018,79.030115,NA
DK,Male,2019,79.455048,NA
DK,Male,2020,79.58124,79.638421
DK,Male,2021,79.570596,79.876337
DK,Male,2022,79.437249,80.09842
DK,Male,2023,79.729346,80.31922
DK,Male,2024,80.173837,80.524814
DK,Female,2000,79.128665,NA
DK,Female,2001,79.22398,NA
DK,Female,2002,79.356412,NA
DK,Female,2003,79.745611,NA
DK,Female,2004,80.116117,NA
DK,Female,2005,80.451622,NA
DK,Female,2006,80.520956,NA
DK,Female,2007,80.539809,NA
DK,Female,2008,80.930747,NA
DK,Female,2009,81.042693,NA
DK,Female,2010,81.34947,NA
DK,Female,2011,81.832849,NA
DK,Female,2012,82.055609,NA
DK,Female,2013,82.322791,NA
DK,Female,2014,82.697194,NA
DK,Female,2015,82.697586,NA
DK,Female,2016,82.790057,NA
DK,Female,2017,83.126114,NA
DK,Female,2018,82.962537,NA
DK,Female,2019,83.426635,NA
DK,Female,2020,83.531995,83.604602
DK,Female,2021,83.309486,83.806061
DK,Female,2022,83.186994,84.011996
DK,Female,2023,83.643764,84.218914
DK,Female,2024,83.909359,84.415809
DK,Total,2000,76.823404,NA
DK,Total,2001,76.982728,NA
DK,Total,2002,77.105343,NA
DK,Total,2003,77.405455,NA
DK,Total,2004,77.785165,NA
DK,Total,2005,78.222351,NA
DK,Total,2006,78.231779,NA
DK,Total,2007,78.352093,NA
DK,Total,2008,78.732937,NA
DK,Total,2009,78.967558,NA
DK,Total,2010,79.256226,NA
DK,Total,2011,79.800676,NA
DK,Total,2012,80.085201,NA
DK,Total,2013,80.314763,NA
DK,Total,2014,80.652693,NA
DK,Total,2015,80.752778,NA
DK,Total,2016,80.889153,NA
DK,Total,2017,81.117348,NA
DK,Total,2018,80.999338,NA
DK,Total,2019,81.443917,NA
DK,Total,2020,81.560227,81.623629
DK,Total,2021,81.439855,81.842901
DK,Total,2022,81.307504,82.056538
DK,Total,2023,81.675922,82.269896
DK,Total,2024,82.04492,82.469832
EE,Male,2000,65.483758,NA
EE,Male,2001,65.030834,NA
EE,Male,2002,65.458445,NA
EE,Male,2003,66.34261,NA
EE,Male,2004,66.641559,NA
EE,Male,2005,67.471499,NA
EE,Male,2006,67.541078,NA
EE,Male,2007,67.328121,NA
EE,Male,2008,68.77636,NA
EE,Male,2009,69.877775,NA
EE,Male,2010,70.760472,NA
EE,Male,2011,71.306682,NA
EE,Male,2012,71.298785,NA
EE,Male,2013,72.688324,NA
EE,Male,2014,72.304604,NA
EE,Male,2015,73.059221,NA
EE,Male,2016,73.143051,NA
EE,Male,2017,73.602667,NA
EE,Male,2018,73.841451,NA
EE,Male,2019,74.43596,NA
EE,Male,2020,74.40244,74.80197
EE,Male,2021,72.668642,75.171336
EE,Male,2022,73.629953,75.473324
EE,Male,2023,74.515306,75.772112
EE,Male,2024,75.128971,76.112133
EE,Female,2000,76.190845,NA
EE,Female,2001,76.388898,NA
EE,Female,2002,77.088498,NA
EE,Female,2003,77.156889,NA
EE,Female,2004,77.87428,NA
EE,Female,2005,78.128082,NA
EE,Female,2006,78.515908,NA
EE,Female,2007,78.650739,NA
EE,Female,2008,79.278877,NA
EE,Female,2009,80.005032,NA
EE,Female,2010,80.448846,NA
EE,Female,2011,80.93874,NA
EE,Female,2012,81.053358,NA
EE,Female,2013,81.273642,NA
EE,Female,2014,81.440639,NA
EE,Female,2015,81.753452,NA
EE,Female,2016,81.886455,NA
EE,Female,2017,82.313566,NA
EE,Female,2018,82.391826,NA
EE,Female,2019,82.73566,NA
EE,Female,2020,82.730331,82.894519
EE,Female,2021,81.372943,83.128695
EE,Female,2022,82.257938,83.344609
EE,Female,2023,83.058032,83.558445
EE,Female,2024,83.448503,83.795525
EE,Total,2000,70.889776,NA
EE,Total,2001,70.711982,NA
EE,Total,2002,71.260593,NA
EE,Total,2003,71.808674,NA
EE,Total,2004,72.293908,NA
EE,Total,2005,72.891953,NA
EE,Total,2006,73.10399,NA
EE,Total,2007,73.031538,NA
EE,Total,2008,74.156956,NA
EE,Total,2009,75.108647,NA
