region,year,e0deficit_Q025_Male,e0deficit_Q025_Female,e0deficit_Q50_Male,e0deficit_Q50_Female,e0deficit_Q975_Male,e0deficit_Q975_Female,e0expected_Q50_Male,e0expected_Q50_Female,e0observed_Male,e0observed_Female,maleexcessdeficit,highermaledeficit
HU,2020-2024,-1.483549,-1.487977,-1.075191,-0.773698,-0.558159,-0.038688,73.758754,80.084171,72.691217,79.311833,0.301493,TRUE
IL,2020,-1.033278,-0.622913,-0.647878,-0.311629,-0.344064,0.008316,80.899251,84.829126,80.256535,84.52553,0.33625,TRUE
IL,2021,-1.710108,-1.219084,-1.093486,-0.822963,-0.581761,-0.383588,81.065367,85.018228,79.988284,84.197075,0.270522,TRUE
IL,2022,-1.882707,-1.359085,-1.158515,-0.926193,-0.482987,-0.44873,81.282052,85.174087,80.129456,84.240322,0.232322,TRUE
IL,2023,-1.810027,-1.108258,-1.10428,-0.587995,-0.368398,-0.019574,81.479953,85.32578,80.373611,84.72675,0.516284,TRUE
IL,2024,-2.253079,-1.59374,-1.402899,-1.023736,-0.504347,-0.463285,81.692971,85.483342,80.280586,84.442834,0.37916299999999997,TRUE
IL,2020-2024,-1.660991,-1.129494,-1.088969,-0.752955,-0.545601,-0.319073,81.293131,85.174203,80.200987,84.426898,0.336014,TRUE
IS,2020,-1.182738,-0.920509,-0.264411,0.043483,0.69742,1.075375,81.4613,84.437681,81.188262,84.489399,0.307895,TRUE
IS,2021,-1.375807,-1.370612,-0.119845,-0.229834,1.336793,1.110444,81.64326,84.572801,81.508975,84.354224,-0.109989,FALSE
IS,2022,-2.484779,-2.58354,-0.938474,-1.241639,0.713358,0.243466,81.778116,84.779337,80.799917,83.483227,-0.303165,FALSE
IS,2023,-2.875132,-2.072462,-1.07654,-0.70263,0.766001,1.053554,81.844983,84.87281,80.708649,84.161208,0.37391,TRUE
IS,2024,-2.708484,-2.585647,-0.734469,-0.910617,1.007851,0.900902,81.932024,84.996615,81.182891,84.101579,-0.176148,FALSE
IS,2020-2024,-1.918701,-1.71443,-0.662924,-0.660171,0.603591,0.559474,81.742863,84.748037,81.053958,84.084032,0.002753,TRUE
IT,2020,-1.990437,-1.843074,-1.431105,-0.984415,-0.748731,-0.221476,81.28211,85.463489,79.852897,84.475426,0.44669,TRUE
IT,2021,-1.941213,-2.029499,-1.178035,-0.830138,-0.33088,0.398836,81.463706,85.566374,80.287977,84.734927,0.347896,TRUE
IT,2022,-2.044214,-2.09222,-1.102498,-0.895833,-0.009265,0.63771,81.669933,85.658736,80.560537,84.757305,0.206665,TRUE
IT,2023,-1.598553,-1.767226,-0.423834,-0.260837,0.750004,1.363681,81.734849,85.670618,81.305099,85.413375,0.162997,TRUE
IT,2024,-1.377966,-1.775747,-0.240834,-0.037753,1.041383,1.710239,81.907713,85.755537,81.663347,85.714585,0.203081,TRUE
IT,2020-2024,-1.606063,-1.726396,-0.905079,-0.563415,-0.004381,0.674635,81.619755,85.582676,80.718135,85.00788,0.341664,TRUE
JP,2020,-0.140443,-0.076613,0.07258,0.196269,0.303504,0.474097,81.514451,87.607668,81.589636,87.80322,0.12369,TRUE
JP,2021,-0.512083,-0.497227,-0.185768,-0.099394,0.151194,0.294523,81.673876,87.755109,81.489484,87.661095,0.086374,TRUE
JP,2022,-1.211545,-1.180837,-0.79837,-0.7527,-0.425589,-0.23546,81.862327,87.902232,81.05751,87.154372,0.045671,TRUE
JP,2023,-1.401381,-1.336633,-0.928725,-0.82738,-0.456084,-0.226295,82.03741,88.053287,81.108945,87.224357,0.101344,TRUE
JP,2024,-1.55204,-1.558223,-1.107306,-0.979563,-0.550475,-0.387863,82.227299,88.189991,81.11767,87.213145,0.127743,TRUE
JP,2020-2024,-0.928678,-0.931437,-0.607001,-0.506455,-0.245686,-0.094125,81.869238,87.90888,81.259661,87.399849,0.100546,TRUE
LT,2020,-2.53644,-1.740007,-1.55736,-1.143449,-0.4589,-0.643149,71.805309,81.200457,70.282162,80.057039,0.413911,TRUE
LT,2021,-3.858719,-3.225224,-2.405983,-2.478187,-1.024863,-1.790952,72.000182,81.385183,69.618462,78.88424,-0.072203,FALSE
LT,2022,-2.499129,-2.250262,-0.770545,-1.442429,0.777596,-0.77316,72.197112,81.546472,71.392109,80.091728,-0.671884,FALSE
LT,2023,-1.303303,-0.978502,0.577982,-0.066436,2.707893,0.985359,72.331962,81.764406,72.894542,81.698019,-0.644418,FALSE
LT,2024,-1.390726,-1.363477,0.461056,-0.235134,2.622069,0.975321,72.599354,81.893924,73.029737,81.643956,-0.69619,FALSE
LT,2020-2024,-2.143657,-1.846186,-0.766844,-1.113287,0.593105,-0.413502,72.183475,81.530423,71.404174,80.420821,-0.346443,FALSE
LU,2020,-1.767126,-1.524973,-0.804033,-0.639189,0.112195,0.628867,80.450568,84.925683,79.643587,84.3289,0.164844,TRUE
LU,2021,-1.680167,-1.881638,-0.392564,-0.505706,0.820546,1.0359,80.783781,85.148024,80.307619,84.618515,-0.113141,FALSE
LU,2022,-2.167898,-1.758297,-0.551041,-0.178187,1.046108,1.593299,81.024666,85.319533,80.456172,85.104371,0.372854,TRUE
LU,2023,-1.343241,-2.740874,0.149171,-0.749806,2.005417,1.220501,81.297091,85.43028,81.442496,84.671082,-0.898978,FALSE
LU,2024,-2.743155,-1.947847,-1.070939,0.088738,1.084399,2.364187,81.57109,85.610799,80.501745,85.67954,1.159677,TRUE
LU,2020-2024,-1.752064,-1.823817,-0.564014,-0.426739,0.755718,0.994597,80.976365,85.288646,80.453545,84.874951,0.137275,TRUE
LV,2020,-1.472446,-1.007565,-0.595723,-0.401588,0.21187,0.231158,71.177251,80.290267,70.581809,79.917521,0.194135,TRUE
LV,2021,-4.358901,-3.233025,-3.238398,-2.464172,-2.179876,-1.674803,71.443311,80.524051,68.215557,78.035295,0.774225,TRUE
LV,2022,-3.576968,-2.275689,-2.284582,-1.34716,-0.879324,-0.366715,71.746935,80.725192,69.484967,79.408548,0.937422,TRUE
LV,2023,-2.984956,-1.448975,-1.577592,-0.458392,-0.010654,0.786942,72.056676,80.957918,70.442132,80.503831,1.119201,TRUE
LV,2024,-2.527557,-1.060778,-0.945136,0.038263,0.842974,1.409283,72.375229,81.195766,71.403763,81.253307,0.983399,TRUE
LV,2020-2024,-2.722762,-1.712439,-1.798668,-0.968506,-0.61075,-0.078955,71.778904,80.72971,69.969232,79.768115,0.830162,TRUE
NL,2020,-1.349899,-1.000035,-1.078385,-0.613224,-0.755844,-0.247768,80.746141,83.704757,79.676557,83.084732,0.465161,TRUE
NL,2021,-1.684191,-1.366621,-1.275293,-0.852718,-0.802542,-0.372618,80.966936,83.860109,79.694046,83.003027,0.422575,TRUE
NL,2022,-1.648067,-1.451272,-1.094082,-0.891745,-0.545029,-0.298623,81.2261,84.015876,80.121865,83.116439,0.202337,TRUE
NL,2023,-1.783466,-1.473286,-1.13439,-0.825955,-0.541287,-0.027216,81.467633,84.177504,80.318372,83.349871,0.308434,TRUE
NL,2024,-1.797765,-1.675435,-1.189317,-0.963614,-0.407869,-0.255072,81.728716,84.32162,80.546583,83.351666,0.225703,TRUE
NL,2020-2024,-1.613554,-1.369332,-1.165687,-0.838013,-0.685555,-0.32035400000000003,81.240376,84.026687,80.076427,83.182574,0.327674,TRUE
NO,2020,-0.322598,-0.309831,-0.032376,0.068587,0.318892,0.384286,81.490378,84.846497,81.476808,84.896011,0.100963,TRUE
