region_iso,sex,year,model,e0_actual,e0_expected,e0_deficit,orig_cluster_assignment
HU,Total,2022,LE random walk with drift,76.101903,77.191889,-1.089986,B
HU,Total,2022,ASDR random walk with drift,76.101903,77.056782,-0.954879,B
HU,Total,2023,Lee-Carter,77.081639,77.204398,-0.12276,B
HU,Total,2023,LE random walk with drift,77.081639,77.438624,-0.356985,B
HU,Total,2023,ASDR random walk with drift,77.081639,77.252473,-0.170834,B
HU,Total,2024,Lee-Carter,77.322378,77.360627,-0.038248,B
HU,Total,2024,LE random walk with drift,77.322378,77.685359,-0.36298,B
HU,Total,2024,ASDR random walk with drift,77.322378,77.445299,-0.12292,B
IL,Total,2020,Lee-Carter,82.425244,82.861479,-0.436236,D
IL,Total,2020,LE random walk with drift,82.425244,82.896988,-0.471744,D
IL,Total,2020,ASDR random walk with drift,82.425244,82.873957,-0.448713,D
IL,Total,2021,Lee-Carter,82.12379,82.955342,-0.831552,D
IL,Total,2021,LE random walk with drift,82.12379,83.100709,-0.976918,D
IL,Total,2021,ASDR random walk with drift,82.12379,83.05262,-0.92883,D
IL,Total,2022,Lee-Carter,82.217859,83.056445,-0.838585,D
IL,Total,2022,LE random walk with drift,82.217859,83.304429,-1.08657,D
IL,Total,2022,ASDR random walk with drift,82.217859,83.229035,-1.011176,D
IL,Total,2023,Lee-Carter,82.580529,83.14567,-0.565141,D
IL,Total,2023,LE random walk with drift,82.580529,83.50815,-0.927622,D
IL,Total,2023,ASDR random walk with drift,82.580529,83.40321,-0.822682,D
IL,Total,2024,Lee-Carter,82.392587,83.243598,-0.851011,D
IL,Total,2024,LE random walk with drift,82.392587,83.711871,-1.319284,D
IL,Total,2024,ASDR random walk with drift,82.392587,83.575156,-1.182569,D
IS,Total,2020,Lee-Carter,82.792214,82.810698,-0.018484,C
IS,Total,2020,LE random walk with drift,82.792214,83.085853,-0.293639,C
IS,Total,2020,ASDR random walk with drift,82.792214,83.048809,-0.256595,C
IS,Total,2021,Lee-Carter,82.903141,82.884557,0.018584,C
IS,Total,2021,LE random walk with drift,82.903141,83.255657,-0.352517,C
IS,Total,2021,ASDR random walk with drift,82.903141,83.188715,-0.285575,C
IS,Total,2022,Lee-Carter,82.097165,82.956137,-0.858971,C
IS,Total,2022,LE random walk with drift,82.097165,83.425462,-1.328297,C
IS,Total,2022,ASDR random walk with drift,82.097165,83.326661,-1.229496,C
IS,Total,2023,Lee-Carter,82.371209,82.979216,-0.608007,C
IS,Total,2023,LE random walk with drift,82.371209,83.595267,-1.224057,C
IS,Total,2023,ASDR random walk with drift,82.371209,83.462704,-1.091495,C
IS,Total,2024,Lee-Carter,82.592126,83.048568,-0.456442,C
IS,Total,2024,LE random walk with drift,82.592126,83.765072,-1.172946,C
IS,Total,2024,ASDR random walk with drift,82.592126,83.596895,-1.004769,C
IT,Total,2020,Lee-Carter,82.194137,83.435646,-1.241509,A
IT,Total,2020,LE random walk with drift,82.194137,83.488953,-1.294816,A
IT,Total,2020,ASDR random walk with drift,82.194137,83.483595,-1.289458,A
