group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,LU,Luxembourg,2024,0,0.047642,lu
A First wave peak,LU,Luxembourg,2024,20,-0.00599,lu
A First wave peak,LU,Luxembourg,2024,40,0.044841,lu
A First wave peak,LU,Luxembourg,2024,60,0.055469,lu
A First wave peak,LU,Luxembourg,2024,80,-0.084192,lu
A First wave peak,LU,Luxembourg,2024,100,0.018404,lu
A First wave peak,SE,Sweden,2020,0,-0.007025,se
A First wave peak,SE,Sweden,2020,20,0.007184,se
A First wave peak,SE,Sweden,2020,40,-0.031867,se
A First wave peak,SE,Sweden,2020,60,-0.201585,se
A First wave peak,SE,Sweden,2020,80,-0.351922,se
A First wave peak,SE,Sweden,2020,100,-0.002927,se
A First wave peak,SE,Sweden,2020-2024,0,-0.015749,se
A First wave peak,SE,Sweden,2020-2024,20,0.013133,se
A First wave peak,SE,Sweden,2020-2024,40,-0.052221,se
A First wave peak,SE,Sweden,2020-2024,60,-0.144442,se
A First wave peak,SE,Sweden,2020-2024,80,-0.142286,se
A First wave peak,SE,Sweden,2020-2024,100,5.93e-4,se
A First wave peak,SE,Sweden,2021,0,0.005555,se
A First wave peak,SE,Sweden,2021,20,-0.005828,se
A First wave peak,SE,Sweden,2021,40,-0.046887,se
A First wave peak,SE,Sweden,2021,60,-0.138951,se
A First wave peak,SE,Sweden,2021,80,-0.022367,se
A First wave peak,SE,Sweden,2021,100,0.004421,se
A First wave peak,SE,Sweden,2022,0,-0.030868,se
A First wave peak,SE,Sweden,2022,20,0.036665,se
A First wave peak,SE,Sweden,2022,40,-0.065389,se
A First wave peak,SE,Sweden,2022,60,-0.184641,se
A First wave peak,SE,Sweden,2022,80,-0.187202,se
A First wave peak,SE,Sweden,2022,100,2.9e-5,se
A First wave peak,SE,Sweden,2023,0,-0.023849,se
A First wave peak,SE,Sweden,2023,20,-0.012311,se
A First wave peak,SE,Sweden,2023,40,-0.087489,se
A First wave peak,SE,Sweden,2023,60,-0.159301,se
A First wave peak,SE,Sweden,2023,80,-0.099004,se
A First wave peak,SE,Sweden,2023,100,-0.002532,se
A First wave peak,SE,Sweden,2024,0,-0.021502,se
A First wave peak,SE,Sweden,2024,20,0.041219,se
A First wave peak,SE,Sweden,2024,40,-0.028702,se
A First wave peak,SE,Sweden,2024,60,-0.034471,se
A First wave peak,SE,Sweden,2024,80,-0.037493,se
A First wave peak,SE,Sweden,2024,100,0.006787,se
A First wave peak,SI,Slovenia,2020,0,0.008288,si
A First wave peak,SI,Slovenia,2020,20,-0.00494,si
A First wave peak,SI,Slovenia,2020,40,-0.102844,si
A First wave peak,SI,Slovenia,2020,60,-0.429453,si
A First wave peak,SI,Slovenia,2020,80,-0.761249,si
A First wave peak,SI,Slovenia,2020,100,-0.005324,si
A First wave peak,SI,Slovenia,2020-2024,0,-0.010224,si
A First wave peak,SI,Slovenia,2020-2024,20,-0.048686,si
A First wave peak,SI,Slovenia,2020-2024,40,-0.060337,si
A First wave peak,SI,Slovenia,2020-2024,60,-0.350327,si
A First wave peak,SI,Slovenia,2020-2024,80,-0.310307,si
A First wave peak,SI,Slovenia,2020-2024,100,0.001798,si
A First wave peak,SI,Slovenia,2021,0,-0.010452,si
A First wave peak,SI,Slovenia,2021,20,-0.016963,si
A First wave peak,SI,Slovenia,2021,40,-0.067346,si
A First wave peak,SI,Slovenia,2021,60,-0.56816,si
A First wave peak,SI,Slovenia,2021,80,-0.296363,si
A First wave peak,SI,Slovenia,2021,100,2.45e-4,si
A First wave peak,SI,Slovenia,2022,0,0.015919,si
A First wave peak,SI,Slovenia,2022,20,-0.08679,si
A First wave peak,SI,Slovenia,2022,40,-0.109836,si
A First wave peak,SI,Slovenia,2022,60,-0.37576,si
A First wave peak,SI,Slovenia,2022,80,-0.351973,si
A First wave peak,SI,Slovenia,2022,100,0.001406,si
A First wave peak,SI,Slovenia,2023,0,-0.00691,si
A First wave peak,SI,Slovenia,2023,20,-0.083577,si
A First wave peak,SI,Slovenia,2023,40,0.004832,si
A First wave peak,SI,Slovenia,2023,60,-0.193685,si
A First wave peak,SI,Slovenia,2023,80,0.015598,si
A First wave peak,SI,Slovenia,2023,100,0.009823,si
A First wave peak,SI,Slovenia,2024,0,-0.062706,si
A First wave peak,SI,Slovenia,2024,20,-0.056118,si
A First wave peak,SI,Slovenia,2024,40,-0.02117,si
A First wave peak,SI,Slovenia,2024,60,-0.168296,si
A First wave peak,SI,Slovenia,2024,80,-0.016607,si
A First wave peak,SI,Slovenia,2024,100,0.015258,si
B Second wave peak,BG,Bulgaria,2020,0,0.071731,bg
B Second wave peak,BG,Bulgaria,2020,20,-0.034018,bg
B Second wave peak,BG,Bulgaria,2020,40,-0.315857,bg
B Second wave peak,BG,Bulgaria,2020,60,-1.012296,bg
B Second wave peak,BG,Bulgaria,2020,80,-0.141073,bg
B Second wave peak,BG,Bulgaria,2020,100,-2.66e-4,bg
B Second wave peak,BG,Bulgaria,2020-2024,0,-0.031433,bg
B Second wave peak,BG,Bulgaria,2020-2024,20,-0.058324,bg
B Second wave peak,BG,Bulgaria,2020-2024,40,-0.230941,bg
B Second wave peak,BG,Bulgaria,2020-2024,60,-0.997329,bg
B Second wave peak,BG,Bulgaria,2020-2024,80,-0.151502,bg
B Second wave peak,BG,Bulgaria,2020-2024,100,-4.12e-4,bg
B Second wave peak,BG,Bulgaria,2021,0,-0.097342,bg
B Second wave peak,BG,Bulgaria,2021,20,-0.212849,bg
B Second wave peak,BG,Bulgaria,2021,40,-0.812584,bg
B Second wave peak,BG,Bulgaria,2021,60,-2.240959,bg
B Second wave peak,BG,Bulgaria,2021,80,-0.610574,bg
B Second wave peak,BG,Bulgaria,2021,100,-3.62e-4,bg
B Second wave peak,BG,Bulgaria,2022,0,8.34e-4,bg
B Second wave peak,BG,Bulgaria,2022,20,-0.047824,bg
B Second wave peak,BG,Bulgaria,2022,40,-0.124607,bg
B Second wave peak,BG,Bulgaria,2022,60,-0.859179,bg
B Second wave peak,BG,Bulgaria,2022,80,-0.24854,bg
B Second wave peak,BG,Bulgaria,2022,100,-7.17e-4,bg
B Second wave peak,BG,Bulgaria,2023,0,-0.135787,bg
B Second wave peak,BG,Bulgaria,2023,20,0.038565,bg
B Second wave peak,BG,Bulgaria,2023,40,0.158335,bg
B Second wave peak,BG,Bulgaria,2023,60,-0.22161,bg
B Second wave peak,BG,Bulgaria,2023,80,0.201543,bg
B Second wave peak,BG,Bulgaria,2023,100,5.27e-4,bg
B Second wave peak,BG,Bulgaria,2024,0,0.007514,bg
B Second wave peak,BG,Bulgaria,2024,20,-0.022622,bg
B Second wave peak,BG,Bulgaria,2024,40,0.038344,bg
B Second wave peak,BG,Bulgaria,2024,60,-0.35655,bg
