region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
NL,Male,2021,-1.529746,-1.091967,-0.566468,80.781099,79.694046,0,sig
NL,Male,2022,-1.445598,-0.851748,-0.252602,80.98063,80.121865,0,sig
NL,Male,2023,-1.529799,-0.829387,-0.173241,81.161763,80.318372,0.004,sig
NL,Male,2024,-1.485156,-0.821441,0.025842,81.365071,80.546583,0.028,sig
NL,Male,2020-2024,-1.408731,-0.922993,-0.394962,80.99648,80.076427,0,sig
NO,Male,2020,-0.242934,-0.034728,0.184774,81.501896,81.476808,0.332,ns
NO,Male,2021,-0.417423,-0.17163,0.085482,81.753732,81.58508,0.088,ns
NO,Male,2022,-1.372706,-1.098258,-0.818434,82.008882,80.903932,0,sig
NO,Male,2023,-1.16476,-0.845681,-0.487756,82.22642,81.395377,0,sig
NO,Male,2024,-1.242731,-0.889114,-0.553584,82.467942,81.570138,0,sig
NO,Male,2020-2024,-0.808256,-0.628348,-0.374892,82.001638,81.379111,0,sig
PL,Male,2020,-2.10395,-1.67523,-1.150413,74.147402,72.474299,0,sig
PL,Male,2021,-3.373644,-2.726951,-1.988667,74.366425,71.634992,0,sig
PL,Male,2022,-2.008235,-1.120969,-0.277346,74.557667,73.418385,0.004,sig
PL,Male,2023,-1.094282,-0.048403,0.89131,74.708754,74.663327,0.476,ns
PL,Male,2024,-0.908974,0.172551,1.064871,74.870694,75.045157,1,ns
PL,Male,2020-2024,-1.862233,-1.142381,-0.396592,74.539201,73.400638,0,sig
PT,Male,2020,-1.229597,-0.840305,-0.381042,79.232744,78.395217,0,sig
PT,Male,2021,-1.698882,-1.021072,-0.424439,79.445459,78.420751,0,sig
PT,Male,2022,-1.575653,-0.83202,-0.09471,79.646061,78.813295,0.012,sig
PT,Male,2023,-1.462515,-0.526127,0.360998,79.897652,79.368495,0.096,ns
PT,Male,2024,-1.296359,-0.343566,0.573212,80.105586,79.734619,0.228,ns
PT,Male,2020-2024,-1.320372,-0.704218,-0.036641,79.658722,78.948778,0.016,sig
SE,Male,2020,-1.159563,-0.879288,-0.556953,81.48393,80.611124,0,sig
SE,Male,2021,-0.905504,-0.440437,-0.052942,81.652566,81.222757,0.012,sig
SE,Male,2022,-0.96222,-0.482225,0.024691,81.858924,81.369916,0.036,sig
SE,Male,2023,-1.058428,-0.45281,0.11218500000000001,82.06201,81.587007,0.044,sig
SE,Male,2024,-0.669792,0.066935,0.6942,82.217475,82.289511,1,ns
SE,Male,2020-2024,-0.892043,-0.438965,-0.033744,81.854315,81.417672,0.02,sig
SI,Male,2020,-1.58926,-1.088714,-0.375582,78.77194,77.70573,0,sig
SI,Male,2021,-2.1983,-1.391835,-0.511834,79.050032,77.668858,0,sig
SI,Male,2022,-1.680698,-0.553925,0.475711,79.294684,78.740144,0.144,ns
SI,Male,2023,-1.505764,-0.308523,0.82967900000000006,79.491926,79.180032,0.324,ns
SI,Male,2024,-1.233844,0.070301,1.134709,79.701076,79.798293,1,ns
SI,Male,2020-2024,-1.577867,-0.664898,0.156161,79.273867,78.590416,0.052,ns
SK,Male,2020,-1.428476,-0.958588,-0.509181,74.402853,73.429146,0,sig
SK,Male,2021,-4.104563,-3.451889,-2.86393,74.608045,71.169554,0,sig
SK,Male,2022,-2.270525,-1.375583,-0.643113,74.874472,73.477994,0,sig
SK,Male,2023,-1.428078,-0.465686,0.559831,75.167724,74.674835,0.152,ns
SK,Male,2024,-1.331875,-0.384904,0.87978,75.386866,75.034548,0.224,ns
SK,Male,2020-2024,-2.106768,-1.422245,-0.724221,74.898283,73.490078,0,sig
TW,Male,2020,-0.028314,0.379329,0.881091,77.673529,78.040679,1,ns
TW,Male,2021,-0.779503,-0.225152,0.459544,77.839194,77.610989,0.244,ns
TW,Male,2022,-1.996928,-1.298656,-0.505872,77.958512,76.663047,0,sig
TW,Male,2023,-2.064184,-1.215844,-0.349782,78.140953,76.931492,0,sig
TW,Male,2024,-1.856433,-0.920076,0.229206,78.284591,77.347615,0.048,sig
TW,Male,2020-2024,-1.284963,-0.689777,0.03894,77.990357,77.300289,0.032,sig
US,Male,2020,-2.013714,-1.98891,-1.96205,76.335705,74.346375,0,sig
US,Male,2021,-2.710011,-2.677691,-2.644418,76.325027,73.647297,0,sig
US,Male,2022,-1.437673,-1.396261,-1.355918,76.312971,74.915088,0,sig
US,Male,2023,-0.356008,-0.311952,-0.256281,76.298387,75.984031,0,sig
US,Male,2024,0.395265,0.454813,0.529051,76.282141,76.736365,1,ns
US,Male,2020-2024,-1.235203,-1.205346,-1.169446,76.313233,75.107727,0,sig
