region_iso,sex,year,year_int,e0_deficit_pval
ES,Female,2020-2024,NA,0.028
ES,Total,2020,2020,0
ES,Total,2021,2021,0
ES,Total,2022,2022,0
ES,Total,2023,2023,0.132
ES,Total,2024,2024,0.236
ES,Total,2020-2024,NA,0
FI,Male,2020,2020,0
FI,Male,2021,2021,0
FI,Male,2022,2022,0
FI,Male,2023,2023,0
FI,Male,2024,2024,0
FI,Male,2020-2024,NA,0
FI,Female,2020,2020,0.108
FI,Female,2021,2021,0
FI,Female,2022,2022,0
FI,Female,2023,2023,0
FI,Female,2024,2024,0.024
FI,Female,2020-2024,NA,0
FI,Total,2020,2020,0
FI,Total,2021,2021,0
FI,Total,2022,2022,0
FI,Total,2023,2023,0
FI,Total,2024,2024,0
FI,Total,2020-2024,NA,0
FR,Male,2020,2020,0
FR,Male,2021,2021,0
FR,Male,2022,2022,0
FR,Male,2023,2023,0.084
FR,Male,2024,2024,0.12
FR,Male,2020-2024,NA,0.004
FR,Female,2020,2020,0.008
FR,Female,2021,2021,0.056
FR,Female,2022,2022,0.024
FR,Female,2023,2023,0.252
FR,Female,2024,2024,0.328
FR,Female,2020-2024,NA,0.064
FR,Total,2020,2020,0
FR,Total,2021,2021,0
FR,Total,2022,2022,0
FR,Total,2023,2023,0.092
FR,Total,2024,2024,0.144
FR,Total,2020-2024,NA,0
GB-EAW,Male,2020,2020,0
GB-EAW,Male,2021,2021,0
GB-EAW,Male,2022,2022,0
GB-EAW,Male,2023,2023,0
GB-EAW,Male,2024,2024,0.056
GB-EAW,Male,2020-2024,NA,0
GB-EAW,Female,2020,2020,0
GB-EAW,Female,2021,2021,0
GB-EAW,Female,2022,2022,0.052
GB-EAW,Female,2023,2023,0.088
GB-EAW,Female,2024,2024,0.308
GB-EAW,Female,2020-2024,NA,0.02
GB-EAW,Total,2020,2020,0
GB-EAW,Total,2021,2021,0
GB-EAW,Total,2022,2022,0
GB-EAW,Total,2023,2023,0.008
GB-EAW,Total,2024,2024,0.096
GB-EAW,Total,2020-2024,NA,0
GB-NIR,Male,2020,2020,0
GB-NIR,Male,2021,2021,0
GB-NIR,Male,2022,2022,0.032
GB-NIR,Male,2023,2023,0.112
GB-NIR,Male,2024,2024,0.004
GB-NIR,Male,2020-2024,NA,0.012
GB-NIR,Female,2020,2020,0
GB-NIR,Female,2021,2021,0
GB-NIR,Female,2022,2022,0.144
GB-NIR,Female,2023,2023,0.196
GB-NIR,Female,2024,2024,0.12
GB-NIR,Female,2020-2024,NA,0.036
GB-NIR,Total,2020,2020,0
GB-NIR,Total,2021,2021,0
GB-NIR,Total,2022,2022,0.012
GB-NIR,Total,2023,2023,0.096
GB-NIR,Total,2024,2024,0.004
GB-NIR,Total,2020-2024,NA,0
GB-SCT,Male,2020,2020,0
GB-SCT,Male,2021,2021,0
GB-SCT,Male,2022,2022,0
GB-SCT,Male,2023,2023,0.04
GB-SCT,Male,2024,2024,1
GB-SCT,Male,2020-2024,NA,0
GB-SCT,Female,2020,2020,0
GB-SCT,Female,2021,2021,0
GB-SCT,Female,2022,2022,0.028
GB-SCT,Female,2023,2023,0.008
GB-SCT,Female,2024,2024,0.176
GB-SCT,Female,2020-2024,NA,0.008
GB-SCT,Total,2020,2020,0
GB-SCT,Total,2021,2021,0
GB-SCT,Total,2022,2022,0
GB-SCT,Total,2023,2023,0.004
GB-SCT,Total,2024,2024,1
GB-SCT,Total,2020-2024,NA,0
GR,Male,2020,2020,0.164
GR,Male,2021,2021,0
GR,Male,2022,2022,0.012
GR,Male,2023,2023,0.224
GR,Male,2024,2024,0.148
GR,Male,2020-2024,NA,0.012
GR,Female,2020,2020,0.004
GR,Female,2021,2021,0
GR,Female,2022,2022,0
GR,Female,2023,2023,0.06
GR,Female,2024,2024,0.056
GR,Female,2020-2024,NA,0
GR,Total,2020,2020,0.016
GR,Total,2021,2021,0
GR,Total,2022,2022,0
GR,Total,2023,2023,0.076
GR,Total,2024,2024,0.052
