group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,GB-EAW,England and Wales,2022,100,-0.002603,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,0,-0.036753,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,20,-0.047825,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,40,-0.222521,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,60,-0.307885,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,80,-0.1772,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,100,-0.002502,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,0,-0.036321,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,20,-0.031598,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,40,-0.170221,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,60,-0.141843,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,80,-0.005284,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,100,-0.001252,gb-eaw
A First wave peak,IT,Italy,2020,0,0.025843,it
A First wave peak,IT,Italy,2020,20,-0.004027,it
A First wave peak,IT,Italy,2020,40,-0.104382,it
A First wave peak,IT,Italy,2020,60,-0.599965,it
A First wave peak,IT,Italy,2020,80,-0.543269,it
A First wave peak,IT,Italy,2020,100,-0.003106,it
A First wave peak,IT,Italy,2020-2024,0,-3.71e-4,it
A First wave peak,IT,Italy,2020-2024,20,-0.028215,it
A First wave peak,IT,Italy,2020-2024,40,-0.073361,it
A First wave peak,IT,Italy,2020-2024,60,-0.337293,it
A First wave peak,IT,Italy,2020-2024,80,-0.325691,it
A First wave peak,IT,Italy,2020-2024,100,0.00121,it
A First wave peak,IT,Italy,2021,0,4.03e-4,it
A First wave peak,IT,Italy,2021,20,-0.038647,it
A First wave peak,IT,Italy,2021,40,-0.129296,it
A First wave peak,IT,Italy,2021,60,-0.528364,it
A First wave peak,IT,Italy,2021,80,-0.340395,it
A First wave peak,IT,Italy,2021,100,0.001218,it
A First wave peak,IT,Italy,2022,0,0.007934,it
A First wave peak,IT,Italy,2022,20,-0.035745,it
A First wave peak,IT,Italy,2022,40,-0.086185,it
A First wave peak,IT,Italy,2022,60,-0.391176,it
A First wave peak,IT,Italy,2022,80,-0.474122,it
A First wave peak,IT,Italy,2022,100,-9.8e-4,it
A First wave peak,IT,Italy,2023,0,-0.016133,it
A First wave peak,IT,Italy,2023,20,-0.032323,it
A First wave peak,IT,Italy,2023,40,-0.034725,it
A First wave peak,IT,Italy,2023,60,-0.131393,it
A First wave peak,IT,Italy,2023,80,-0.164565,it
A First wave peak,IT,Italy,2023,100,0.005752,it
A First wave peak,IT,Italy,2024,0,-0.022899,it
A First wave peak,IT,Italy,2024,20,-0.031078,it
A First wave peak,IT,Italy,2024,40,-0.007789,it
A First wave peak,IT,Italy,2024,60,-0.021183,it
A First wave peak,IT,Italy,2024,80,-0.063063,it
A First wave peak,IT,Italy,2024,100,0.006858,it
A First wave peak,LU,Luxembourg,2020,0,-0.202246,lu
A First wave peak,LU,Luxembourg,2020,20,0.008436,lu
A First wave peak,LU,Luxembourg,2020,40,0.01064,lu
A First wave peak,LU,Luxembourg,2020,60,-0.251971,lu
A First wave peak,LU,Luxembourg,2020,80,-0.298155,lu
A First wave peak,LU,Luxembourg,2020,100,-8.06e-4,lu
A First wave peak,LU,Luxembourg,2020-2024,0,-0.177101,lu
A First wave peak,LU,Luxembourg,2020-2024,20,-0.018712,lu
A First wave peak,LU,Luxembourg,2020-2024,40,0.018191,lu
A First wave peak,LU,Luxembourg,2020-2024,60,-0.127979,lu
A First wave peak,LU,Luxembourg,2020-2024,80,-0.166073,lu
A First wave peak,LU,Luxembourg,2020-2024,100,0.00433,lu
A First wave peak,LU,Luxembourg,2021,0,-0.065244,lu
A First wave peak,LU,Luxembourg,2021,20,0.013965,lu
A First wave peak,LU,Luxembourg,2021,40,-0.036134,lu
A First wave peak,LU,Luxembourg,2021,60,-0.240157,lu
A First wave peak,LU,Luxembourg,2021,80,-0.15644,lu
A First wave peak,LU,Luxembourg,2021,100,0.010155,lu
A First wave peak,LU,Luxembourg,2022,0,-0.122759,lu
A First wave peak,LU,Luxembourg,2022,20,-0.063832,lu
A First wave peak,LU,Luxembourg,2022,40,0.071082,lu
A First wave peak,LU,Luxembourg,2022,60,-0.118044,lu
A First wave peak,LU,Luxembourg,2022,80,-0.158656,lu
A First wave peak,LU,Luxembourg,2022,100,0.013384,lu
A First wave peak,LU,Luxembourg,2023,0,-0.202243,lu
A First wave peak,LU,Luxembourg,2023,20,-0.016915,lu
A First wave peak,LU,Luxembourg,2023,40,0.042953,lu
A First wave peak,LU,Luxembourg,2023,60,-0.026224,lu
A First wave peak,LU,Luxembourg,2023,80,-0.05891,lu
A First wave peak,LU,Luxembourg,2023,100,0.002105,lu
A First wave peak,LU,Luxembourg,2024,0,-0.288633,lu
A First wave peak,LU,Luxembourg,2024,20,-0.033375,lu
A First wave peak,LU,Luxembourg,2024,40,0.002736,lu
A First wave peak,LU,Luxembourg,2024,60,-0.015816,lu
A First wave peak,LU,Luxembourg,2024,80,-0.144309,lu
A First wave peak,LU,Luxembourg,2024,100,0.01166,lu
A First wave peak,SE,Sweden,2020,0,-0.049858,se
A First wave peak,SE,Sweden,2020,20,0.026453,se
